2008 01 19.04933  10 37 24.41  +10 34 23.0   J37  61685   16.0 R
2008 01 19.83031  10 37 14.73  +10 35 29.3   D35  61686   15.9 C
2008 01 19.83978  10 37 14.58  +10 35 29.9   D35  61686   15.9 C
2008 01 19.84922  10 37 14.45  +10 35 31.0   D35  61686   15.9 C
2008 01 26.68527  10 35 42.50  +10 45 47.0   415  61978   16.6 V
2008 01 26.68711  10 35 42.48  +10 45 47.7   415  61978   16.5 V
2008 01 27.56730  10 35 29.75  +10 47 11.4   415  61978   16.5 V
2008 01 27.56914  10 35 29.72  +10 47 11.7   415  61978   16.2 V
2008 01 28.59281  10 35 14.57  +10 48 50.8   415  61978   16.3 V
2008 01 28.59465  10 35 14.54  +10 48 50.9   415  61978   16.4 V
2008 02 02.24666  10 34 02.61  +10 56 35.5   691  61978   16.5 V
2008 02 02.26431  10 34 02.33  +10 56 37.3   691  61978   16.5 V
2008 02 02.28195  10 34 02.04  +10 56 39.1   691  61978   16.4 V
2008 02 09.24274  10 32 06.00  +11 08 53.4   691  61978   16.3 V
2008 02 09.25783  10 32 05.74  +11 08 55.0   691  61978   16.3 V
2008 02 09.27293  10 32 05.47  +11 08 56.6   691  61978   16.3 V
2008 02 09.64752  10 31 58.97  +11 09 38.1   415  61978   16.2 V
2008 02 09.64918  10 31 58.94  +11 09 38.3   415  61978   16.1 V
2008 02 10.24543  10 31 48.62  +11 10 42.0   691  61978   16.4 V
2008 02 10.26309  10 31 48.32  +11 10 43.9   691  61978   16.4 V
2008 02 10.28075  10 31 47.99  +11 10 45.7   691  61978   16.4 V
2008 02 12.66242  10 31 06.13  +11 15 06.1   415  61978   16.2 V
2008 02 12.66381  10 31 06.11  +11 15 06.5   415  61978   17.0 V
2008 02 12.78390  10 31 04.03  +11 15 18.4   A50  61978   16.6 V
2008 02 12.78544  10 31 04.01  +11 15 18.7   A50  61978   16.6 V
2008 02 12.78774  10 31 03.98  +11 15 18.7   A50  61978   16.5 V
2008 02 12.79120  10 31 03.91  +11 15 19.3   A50  61978   16.6 V
2008 02 12.79465  10 31 03.85  +11 15 19.5   A50  61978   16.6 V
2008 02 12.79696  10 31 03.82  +11 15 19.9   A50  61978   16.6 V
2008 02 12.79850  10 31 03.77  +11 15 20.1   A50  61978   16.5 V
2008 02 13.58696  10 30 49.77  +11 16 48.0   415  61978   17.5 V
2008 02 13.58835  10 30 49.76  +11 16 48.6   415  61978   16.3 V
2008 02 16.59539  10 29 55.75  +11 22 18.8   415  61978   16.0 V
2008 02 16.59706  10 29 55.73  +11 22 19.0   415  61978   15.9 V
2008 03 01.52414  10 25 41.49  +11 47 35.7   415  62254   16.2 V
2008 03 01.52600  10 25 41.45  +11 47 35.9   415  62254   16.1 V
2008 03 03.47694  10 25 06.27  +11 51 00.9   415  62254   15.9 V
2008 03 03.47878  10 25 06.23  +11 51 01.0   415  62254   16.0 V
2008 03 04.55470  10 24 46.95  +11 52 52.5   415  62254   16.0 V
2008 03 04.55654  10 24 46.92  +11 52 52.7   415  62254   15.9 V
2008 03 06.57867  10 24 10.99  +11 56 19.9   415  62254   16.5 V
2008 03 06.58036  10 24 10.97  +11 56 20.0   415  62254   16.1 V
2008 03 09.55676  10 23 19.03  +12 01 16.8   415  62254   16.1 V
2008 03 09.55860  10 23 19.01  +12 01 16.9   415  62254   16.0 V
2008 03 10.57254  10 23 01.59  +12 02 56.0   415  62254   15.8 V
2008 03 10.57441  10 23 01.59  +12 02 55.8   415  62254   15.5 V
2008 03 11.25413  10 22 49.95  +12 04 02.2   704  62254
2008 03 11.26506  10 22 49.81  +12 04 02.9   704  62254
2008 03 12.58118  10 22 27.63  +12 06 07.8   415  62254   15.7 V
2008 03 12.58301  10 22 27.59  +12 06 08.0   415  62254   15.4 V
2008 03 14.51620  10 21 55.64  +12 09 07.3   415  62254   15.8 V
2008 03 14.51804  10 21 55.62  +12 09 07.8   415  62254   16.0 V
2008 03 16.46697  10 21 24.10  +12 12 03.0   415  62254   15.9 V
2008 03 16.46880  10 21 24.09  +12 12 03.4   415  62254   15.9 V
2008 03 25.237159 10 19 13.282 +12 23 57.22  673  62566
2008 03 25.241632 10 19 13.219 +12 23 57.58  673  62566
2008 03 26.43052  10 18 57.05  +12 25 25.5   415  62566   15.9 V
2008 03 26.43236  10 18 57.04  +12 25 25.4   415  62566   16.3 V
2008 03 28.48903  10 18 30.01  +12 27 48.9   415  62566   16.2 V
2008 03 28.49088  10 18 29.99  +12 27 48.9   415  62566   16.1 V
2008 03 30.51293  10 18 04.68  +12 30 02.6   415  62566   15.9 V
2008 03 30.51477  10 18 04.65  +12 30 02.6   415  62566   16.0 V
2008 04 01.42804  10 17 41.93  +12 32 01.0   415  62566   15.5 V
2008 04 01.42991  10 17 41.91  +12 32 01.0   415  62566   16.0 V
2008 04 03.50707  10 17 18.56  +12 34 00.7   415  62566   16.3 V
2008 04 03.50892  10 17 18.55  +12 34 00.9   415  62566   16.0 V
2008 04 04.49753  10 17 07.94  +12 34 54.8   415  62566   16.0 V
2008 04 04.49939  10 17 07.94  +12 34 55.0   415  62566   16.0 V
2008 04 05.51055  10 16 57.46  +12 35 48.0   415  62566   16.4 V
2008 04 05.51239  10 16 57.40  +12 35 47.7   415  62566   16.0 V
2008 04 08.60357  10 16 27.69  +12 38 16.4   415  62566   16.5 V
2008 04 08.60511  10 16 27.63  +12 38 16.4   415  62566   15.8 V
2008 04 10.46161  10 16 11.55  +12 39 35.6   415  62566   16.0 V
2008 04 10.46345  10 16 11.51  +12 39 35.5   415  62566   16.5 V
2008 04 10.51710  10 16 11.07  +12 39 37.2   415  62566   15.9 V
2008 04 11.45704  10 16 03.39  +12 40 14.5   415  62566   16.1 V
2008 04 11.45888  10 16 03.36  +12 40 14.6   415  62566   16.3 V
2008 04 28.45573  10 14 44.88  +12 45 27.2   415  62864   17.0 V
2008 04 28.45727  10 14 44.90  +12 45 27.5   415  62864   17.1 V
2008 04 29.46255  10 14 43.90  +12 45 24.4   415  62864   16.4 V
2008 04 29.46682  10 14 43.92  +12 45 24.6   415  62864   16.3 V
2008 05 03.36352  10 14 44.25  +12 44 51.1   415  62864   16.9 V
2008 05 03.36571  10 14 44.27  +12 44 51.1   415  62864   16.3 V
2008 05 08.36276  10 14 53.92  +12 43 15.9   415  62864   16.5 V
2008 05 08.36600  10 14 53.93  +12 43 16.0   415  62864   16.2 V
2008 05 09.47853  10 14 57.52  +12 42 46.4   415  62865   16.1 V
2008 05 09.48176  10 14 57.52  +12 42 46.4   415  62865   16.2 V
2008 05 23.36349  10 16 24.91  +12 32 44.3   415  63123   16.4 V
2008 05 23.36566  10 16 24.92  +12 32 44.5   415  63123   16.8 V
2008 05 24.38544  10 16 34.35  +12 31 43.4   415  63123   16.5 V
2008 05 24.38691  10 16 34.39  +12 31 43.3   415  63123   16.3 V
2008 05 27.46383  10 17 05.29  +12 28 26.0   415  63123   16.6 V
2008 05 27.46604  10 17 05.32  +12 28 25.8   415  63123   16.2 V
2008 05 29.40652  10 17 26.66  +12 26 10.6   415  63123   16.0 V
2008 05 29.40872  10 17 26.68  +12 26 10.2   415  63123   16.3 V
2008 05 31.44922  10 17 50.67  +12 23 40.1   415  63123   16.2 V
2008 05 31.45148  10 17 50.68  +12 23 39.7   415  63123   16.5 V
2008 06 05.38964  10 18 55.10  +12 17 01.1   415  63123   16.4 V
2008 06 05.39184  10 18 55.13  +12 17 00.7   415  63123   16.5 V
2008 06 06.36272  10 19 08.82  +12 15 36.7   415  63123   15.9 V
2008 06 06.36491  10 19 08.85  +12 15 36.2   415  63123   16.0 V
